Name,Ring,quadrant,isNew,description
Event Driven Architecture,2- dette kan noen av oss og bruker det hos kunder,Arkitektur,,There's absolutely nothing that is synchronous in this world
Observability & monitoring,2- dette kan noen av oss og bruker det hos kunder,Arkitektur,,
Microservice Architecture,1 - kjernen av vår kompetanse,Arkitektur,,
Data as first class citizen,3- dette følger vi med på i bransjen,Arkitektur,,
Serverless Architecture,1 - kjernen av vår kompetanse,Arkitektur,,
Domain Driven Design,1 - kjernen av vår kompetanse,Arkitektur,,
OpenAPI,1 - kjernen av vår kompetanse,Backend,,Api Documentation
Postgres,1 - kjernen av vår kompetanse,Backend,,sql database
Micronaut,1 - kjernen av vår kompetanse,Backend,,webframework
OAuth og OpenID Connect,1 - kjernen av vår kompetanse,Backend,,Sikkerhet
REST API Level 1,1 - kjernen av vår kompetanse,Backend,,Resources
REST API Level 2,1 - kjernen av vår kompetanse,Backend,,Verbs
NoSQL,1 - kjernen av vår kompetanse,Backend,,"Databaser som feks, DynamoDB, MongoDB, Redis, Elasticsearch, Neo4j."
Docker,1 - kjernen av vår kompetanse,Backend,,
Java (ny),1 - kjernen av vår kompetanse,Backend,,Nyere Java v 11 og oppover.
"Kotlin ",1 - kjernen av vår kompetanse,Backend,,
AWS ECS Fargate,1 - kjernen av vår kompetanse,Backend,,Serverless container service
Spring Boot,1 - kjernen av vår kompetanse,Backend,,webframework - Både Spring Boot 2 og 3.
Serverless Functions,1 - kjernen av vår kompetanse,Backend,,"AWS Lambda, etc."
JUnit 5,1 - kjernen av vår kompetanse,Backend,,Test Framework
Mockk,1 - kjernen av vår kompetanse,Backend,,Test Framework
Python,1 - kjernen av vår kompetanse,Plattform,,Python er et språk som brukes overalt i AWS of ellers
NodeJS,1 - kjernen av vår kompetanse,"Backend, Frontend",,Runtime
AWS,1 - kjernen av vår kompetanse,Plattform,,
HashiCorp Terraform,1 - kjernen av vår kompetanse,Plattform,,infrastructure as code.
"Continuous Integration, Continuous Deployment",1 - kjernen av vår kompetanse,Plattform,,"Code Build, Code Deploy, Code pipeline, CircleCI, StepFunction"
REST API Level 3,2- dette kan noen av oss og bruker det hos kunder,Backend,,Hypermedia
Mysql,2- dette kan noen av oss og bruker det hos kunder,Backend,,sql database
Redis,2- dette kan noen av oss og bruker det hos kunder,Backend,,in-memory cache database
Quarkus,2- dette kan noen av oss og bruker det hos kunder,Backend,,webframework
NewSQL,2- dette kan noen av oss og bruker det hos kunder,Backend,,Distribuerte RDBMS SaaS databaser.
GraphQL,2- dette kan noen av oss og bruker det hos kunder,Backend,,
Graph Databaser,2- dette kan noen av oss og bruker det hos kunder,Backend,,"Neptune, neo4j."
Python,2- dette kan noen av oss og bruker det hos kunder,Backend,,Python er et språk som brukes overalt i AWS of ellers
